Date,Time,Time2,Memory Used
10/29/2020,10:39:30,PM,45.8771
10/29/2020,10:36:30,PM,45.7022
10/29/2020,10:33:30,PM,45.6595
10/29/2020,10:30:30,PM,46.036
10/29/2020,10:27:30,PM,46.2523
10/29/2020,10:24:30,PM,46.2858
10/29/2020,10:21:30,PM,45.988
10/29/2020,10:18:30,PM,45.9708
10/29/2020,10:15:30,PM,46.3218
10/29/2020,10:12:30,PM,45.8191
10/29/2020,10:09:30,PM,46.0094
10/29/2020,10:06:30,PM,46.0266
10/29/2020,10:03:30,PM,43.105
10/29/2020,10:00:30,PM,43.173
10/29/2020,09:57:30,PM,43.1314
10/29/2020,09:54:30,PM,45.9611
10/29/2020,09:51:30,PM,45.9858
10/29/2020,09:48:30,PM,46.1093
10/29/2020,09:45:30,PM,45.9546
10/29/2020,09:42:30,PM,45.2268
10/29/2020,09:39:30,PM,44.9528
10/29/2020,09:36:30,PM,44.6684
10/29/2020,09:33:30,PM,45.184
10/29/2020,09:30:30,PM,44.7857
10/29/2020,09:27:30,PM,45.3295
10/29/2020,09:24:30,PM,46.0795
10/29/2020,09:21:30,PM,45.7334
10/29/2020,09:18:30,PM,45.273
10/29/2020,09:15:30,PM,46.031
10/29/2020,09:12:30,PM,46.2187
10/29/2020,09:09:30,PM,48.5365
10/29/2020,09:06:30,PM,48.4888
10/29/2020,09:03:30,PM,48.3533
10/29/2020,09:00:30,PM,48.6267
10/29/2020,08:57:30,PM,48.5862
10/29/2020,08:54:30,PM,48.8231
10/29/2020,08:51:30,PM,48.7216
10/29/2020,08:48:30,PM,48.3763
10/29/2020,08:45:30,PM,48.532
10/29/2020,08:42:30,PM,48.6056
10/29/2020,08:39:30,PM,48.6001
10/29/2020,08:36:30,PM,48.4467
10/29/2020,08:33:30,PM,48.4874
10/29/2020,08:30:31,PM,48.3608
10/29/2020,08:27:30,PM,48.7608
10/29/2020,08:24:30,PM,48.736
10/29/2020,08:21:30,PM,48.6254
10/29/2020,08:18:30,PM,48.2761
10/29/2020,08:15:30,PM,48.4583
10/29/2020,08:12:30,PM,48.7051
10/29/2020,08:09:30,PM,49.2973
10/29/2020,08:06:30,PM,49.5454
10/29/2020,08:03:30,PM,50.2284
10/29/2020,08:00:30,PM,49.5571
10/29/2020,07:57:30,PM,49.1477
10/29/2020,07:54:30,PM,49.2833
10/29/2020,07:51:30,PM,49.1806
10/29/2020,07:48:30,PM,49.3937
10/29/2020,07:45:30,PM,49.1306
10/29/2020,07:42:30,PM,48.9377
10/29/2020,07:39:30,PM,49.2882
10/29/2020,07:36:30,PM,49.086
10/29/2020,07:33:30,PM,48.5062
10/29/2020,07:30:30,PM,49.1091
10/29/2020,07:27:30,PM,49.0015
10/29/2020,07:24:30,PM,48.8314
10/29/2020,07:21:30,PM,48.294
10/29/2020,07:18:30,PM,49.2617
10/29/2020,07:15:30,PM,49.3733
10/29/2020,07:12:30,PM,49.6971
10/29/2020,07:09:30,PM,49.184
