Date,time,Allocate memory,%used
2020/10/31,07:54:45,1604102085,71.2758
2020/10/31,07:51:45,1604101905,70.976
2020/10/31,07:48:45,1604101725,70.9969
2020/10/31,07:45:45,1604101545,70.9707
2020/10/31,07:42:45,1604101365,70.8921
2020/10/31,07:39:45,1604101185,70.981
2020/10/31,07:36:45,1604101005,71.0969
2020/10/31,07:33:45,1604100825,71.3284
2020/10/31,07:30:45,1604100645,70.6462
2020/10/31,07:27:45,1604100465,41.9514
2020/10/31,07:24:45,1604100285,29.8213
2020/10/31,07:21:45,1604100105,31.5968
2020/10/31,07:18:45,1604099925,31.8833
2020/10/31,07:15:45,1604099745,29.3023
2020/10/31,07:12:45,1604099565,29.5268
2020/10/31,07:09:45,1604099385,29.6804
2020/10/31,07:06:45,1604099205,30.9101
2020/10/31,07:03:45,1604099025,31.2417
2020/10/31,07:00:45,1604098845,35.7384
2020/10/31,06:57:45,1604098665,35.8833
2020/10/31,06:54:45,1604098485,31.1551
2020/10/31,06:51:45,1604098305,31.2564
2020/10/31,06:48:45,1604098125,31.3222
2020/10/31,06:45:45,1604097945,31.5019
2020/10/31,06:42:45,1604097765,31.227
2020/10/31,06:39:45,1604097585,32.8174
2020/10/31,06:36:45,1604097405,27.9001
2020/10/31,06:33:46,1604097226,27.5501
2020/10/31,06:30:45,1604097045,27.9201
2020/10/31,06:27:45,1604096865,27.7681
2020/10/31,06:24:45,1604096685,27.3871
2020/10/31,06:21:45,1604096505,27.9932
2020/10/31,06:18:45,1604096325,30.5714
2020/10/31,06:15:45,1604096145,33.9115
2020/10/31,06:12:45,1604095965,27.6994
2020/10/31,06:09:45,1604095785,27.3608
2020/10/31,06:06:45,1604095605,26.9995
2020/10/31,06:03:45,1604095425,27.5468
2020/10/31,06:00:45,1604095245,27.3046
2020/10/31,05:57:45,1604095065,27.0862
2020/10/31,05:54:45,1604094885,27.784
2020/10/31,05:51:45,1604094705,27.4266
2020/10/31,05:48:45,1604094525,27.2238
2020/10/31,05:45:45,1604094345,28.1175
2020/10/31,05:42:45,1604094165,27.8981
2020/10/31,05:39:45,1604093985,27.6985
2020/10/31,05:36:45,1604093805,27.5492
2020/10/31,05:33:46,1604093626,28.0981
2020/10/31,05:30:45,1604093445,29.6625
2020/10/31,05:27:45,1604093265,29.742
2020/10/31,05:24:45,1604093085,37.1915
2020/10/31,05:21:45,1604092905,30.2183
2020/10/31,05:18:45,1604092725,26.6919
2020/10/31,05:15:45,1604092545,33.5087
2020/10/31,05:12:45,1604092365,27.7773
2020/10/31,05:09:45,1604092185,28.9157
2020/10/31,05:06:46,1604092006,28.8975
2020/10/31,05:03:45,1604091825,43.8644
2020/10/31,05:00:45,1604091645,34.4403
2020/10/31,04:57:45,1604091465,30.7481
2020/10/31,04:54:45,1604091285,29.6121
2020/10/31,04:51:45,1604091105,28.0671
2020/10/31,04:48:46,1604090926,28.1265
2020/10/31,04:45:45,1604090745,29.3387
2020/10/31,04:42:45,1604090565,28.5911
2020/10/31,04:39:45,1604090385,28.662
2020/10/31,04:36:45,1604090205,31.1328
2020/10/31,04:33:45,1604090025,31.9747
2020/10/31,04:30:45,1604089845,27.0098
2020/10/31,04:27:45,1604089665,27.362
2020/10/31,04:24:46,1604089486,27.9838
2020/10/31,04:21:45,1604089305,30.6175
2020/10/31,04:18:46,1604089126,28.8892
2020/10/31,04:15:45,1604088945,29.0176
2020/10/31,04:12:46,1604088766,28.8397
2020/10/31,04:09:46,1604088586,29.1702
2020/10/31,04:06:45,1604088405,29.0334
2020/10/31,04:03:45,1604088225,29.4028
2020/10/31,04:00:45,1604088045,29.4962
2020/10/31,03:57:45,1604087865,29.1794
2020/10/31,03:54:45,1604087685,41.066
2020/10/31,03:51:45,1604087505,28.9258
2020/10/31,03:48:45,1604087325,29.2464
2020/10/31,03:45:45,1604087145,29.2111
2020/10/31,03:42:45,1604086965,44.5769
2020/10/31,03:39:45,1604086785,28.1901
2020/10/31,03:36:45,1604086605,27.9363
2020/10/31,03:33:45,1604086425,27.945
2020/10/31,03:30:45,1604086245,29.6013
2020/10/31,03:27:45,1604086065,30.6228
2020/10/31,03:24:45,1604085885,30.128
2020/10/31,03:21:45,1604085705,29.0997
2020/10/31,03:18:45,1604085525,31.2342
2020/10/31,03:15:45,1604085345,30.5197
2020/10/31,03:12:45,1604085165,52.7539
2020/10/31,03:09:45,1604084985,38.8745
2020/10/31,03:06:45,1604084805,32.0661
2020/10/31,03:03:45,1604084625,29.0048
2020/10/31,03:00:45,1604084445,28.943
2020/10/31,02:57:45,1604084265,34.2516
2020/10/31,02:54:45,1604084085,36.2351
2020/10/31,02:51:45,1604083905,31.4028
2020/10/31,02:48:45,1604083725,31.332
2020/10/31,02:45:45,1604083545,31.4968
2020/10/31,02:42:45,1604083365,31.5618
2020/10/31,02:39:45,1604083185,31.2277
2020/10/31,02:36:45,1604083005,31.3834
2020/10/31,02:33:45,1604082825,31.3275
2020/10/31,02:30:45,1604082645,31.3972
2020/10/31,02:27:45,1604082465,37.7663
2020/10/31,02:24:46,1604082286,30.3031
2020/10/31,02:21:45,1604082105,30.2884
2020/10/31,02:18:45,1604081925,30.1415
2020/10/31,02:15:45,1604081745,30.2685
2020/10/31,02:12:45,1604081565,30.1046
2020/10/31,02:09:45,1604081385,35.2454
2020/10/31,02:06:45,1604081205,29.4154
2020/10/31,02:03:45,1604081025,29.1729
2020/10/31,02:00:45,1604080845,29.0301
2020/10/31,01:57:45,1604080665,32.5463
2020/10/31,01:54:45,1604080485,54.999
2020/10/31,01:51:45,1604080305,33.4701
2020/10/31,01:48:46,1604080126,50.5629
2020/10/31,01:45:45,1604079945,28.2735
2020/10/31,01:42:45,1604079765,28.2328
2020/10/31,01:39:45,1604079585,33.8943
2020/10/31,01:36:45,1604079405,30.444
2020/10/31,01:33:45,1604079225,32.2408
2020/10/31,01:30:45,1604079045,32.2003
2020/10/31,01:27:45,1604078865,30.0959
2020/10/31,01:24:45,1604078685,30.561
2020/10/31,01:21:45,1604078505,30.4192
2020/10/31,01:18:45,1604078325,33.6722
2020/10/31,01:15:45,1604078145,33.4228
2020/10/31,01:12:45,1604077965,30.4902
2020/10/31,01:09:45,1604077785,31.4169
2020/10/31,01:06:45,1604077605,32.8486
2020/10/31,01:03:45,1604077425,29.6627
2020/10/31,01:00:45,1604077245,31.8975
2020/10/31,00:57:45,1604077065,34.2075
2020/10/31,00:54:45,1604076885,31.8602
2020/10/31,00:51:45,1604076705,31.6009
2020/10/31,00:48:46,1604076526,31.7875
2020/10/31,00:45:45,1604076345,35.6547
2020/10/31,00:42:45,1604076165,28.7361
2020/10/31,00:39:45,1604075985,27.7007
